"Kansas,Ellis County",1103
"Iowa,Linn County",3923
"Wisconsin,Sheboygan County",1002
"Pennsylvania,Cumberland County",3865
"North Dakota,Stark County",140
"Texas,Guadalupe County",4714
"Tennessee,Sevier County",1286
"Michigan,Muskegon County",2342
"Colorado,Weld County",3155
"Ohio,Logan County",589
"Louisiana,Lafayette Parish",6072
"Georgia,Cobb County",22004
"Washington,Walla Walla County",327
"New Jersey,Essex County",41051
"Oklahoma,Pittsburg County",509
"South Carolina,Greenwood County",1895
"New Mexico,Torrance County",2032
"Louisiana,Lincoln Parish",5345
"Rhode Island,Kent County",4205
"Tennessee,Anderson County",1632
"Colorado,Denver County",36139
"Michigan,Oakland County",29090
"Mississippi,Panola County",953
"Illinois,Saline County",9140
"Tennessee,Washington County",3741
"Illinois,Will County",31345
"Louisiana,St Landry Parish",1947
"Colorado,Park County",2208
"North Carolina,Buncombe County",3044
"Kentucky,Floyd County",223
"Massachusetts,Bristol County",8470
"Alabama,Macon County",5374
"Texas,Kleberg County",1179
"New Jersey,Ocean County",12821
"New Jersey,Hudson County",35021
"Connecticut,Windham County",9872
"Wisconsin,Eau Claire County",797
"Louisiana,Ascension Parish",368
"Missouri,Taney County",963
"Alabama,Henry County",925
"Illinois,Marshall County",6087
"Alabama,Winston County",671
"Michigan,Saginaw County",7289
"California,Alameda County",43594
"Tennessee,Wayne County",2481
"Missouri,St Louis County",3606
"Georgia,Floyd County",3121
"Arkansas,Lafayette County",233
"Texas,Hood County",2840
"New Mexico,Taos County",8909
"Georgia,Gordon County",364
"Maryland,Somerset County",460
"Wisconsin,Racine County",3090
"Idaho,Madison County",198
"North Carolina,Nash County",3567
"California,Shasta County",1750
"New Jersey,Atlantic County",4076
"Oregon,Washington County",7058
"Indiana,Allen County",14466
"Wisconsin,Manitowoc County",334
"Mississippi,DeSoto County",5485
"Georgia,Worth County",1841
"Virginia,Winchester City",2170
"Ohio,Allen County",11332
"Florida,Orange County",138033
"Illinois,Coles County",445
"Missouri,Clay County",1773
"Utah,Davis County",834
"Iowa,Poweshiek County",930
"Florida,Broward County",76847
"Tennessee,Rutherford County",7882
"Arkansas,Boone County",4414
"New York,Steuben County",417
"Tennessee,Giles County",1315
"Mississippi,Marion County",729
"Alabama,Walker County",1625
"Alabama,Monroe County",1548
"Iowa,Ringgold County",844
"Arkansas,Yell County",2919
"Pennsylvania,Lycoming County",1567
"Mississippi,Itawamba County",254
"South Carolina,Spartanburg County",7466
"Massachusetts,Suffolk County",192640
"Mississippi,Washington County",2099
"Montana,Hill County",152
"Nebraska,Lancaster County",8206
"Alabama,Clay County",578
"North Carolina,Franklin County",583
"Georgia,Fulton County",410405
"Pennsylvania,Lackawanna County",1678
"Maryland,Allegany County",1783
"North Carolina,Cleveland County",2285
"Tennessee,Dickson County",1910
"Florida,Duval County",53956
"Pennsylvania,Philadelphia County",223053
"Arizona,Maricopa County",109500
"Texas,Bell County",11762
"Michigan,Wayne County",184724
"New Mexico,Dona Ana County",3321
"Maryland,Caroline County",1412
"Minnesota,Blue Earth County",1735
"Florida,Hernando County",1213
"Idaho,Ada County",5416
"Maine,Aroostook County",579
"Wisconsin,Winnebago County",2130
"Indiana,Madison County",1822
"Texas,Gonzales County",9205
"North Dakota,Ward County",545
"Virginia,Fauquier County",736
"Indiana,Clinton County",839
"Missouri,Monroe County",3697
"North Carolina,Ashe County",840
"Pennsylvania,Wayne County",6926
"Washington,Cowlitz County",440
"Tennessee,McMinn County",349
"Nebraska,Custer County",393
"Virginia,Petersburg City",1317
"Indiana,Kosciusko County",2585
"Massachusetts,Barnstable County",1619
"Georgia,Forsyth County",1329
"Kentucky,Mason County",601
"Ohio,Licking County",2505
"Maine,Oxford County",1140
"Indiana,Monroe County",3924
"New York,Monroe County",33542
"Pennsylvania,Franklin County",1938
"Kentucky,Fayette County",17066
"North Carolina,Cumberland County",24423
"California,Inyo County",6967
"Illinois,St Clair County",19234
"California,Santa Clara County",89842
"Texas,Nacogdoches County",1560
"South Carolina,Charleston County",21101
"California,Tuolumne County",2438
"Texas,El Paso County",18676
"Alabama,Perry County",1274
"Washington,Whitman County",999
"Montana,Carter County",5089
"Alabama,Marion County",4782
"North Carolina,Columbus County",1026
"Alabama,Morgan County",8769
"Georgia,Jefferson County",749
"New Jersey,Camden County",11529
"Illinois,Macon County",1242
"Oklahoma,Payne County",2340
"Georgia,Clayton County",67604
"Maryland,Frederick County",5445
"Alabama,Hale County",8581
"Virginia,Prince Edward County",1305
"Maryland,Calvert County",209
"Arkansas,Little River County",131
"Missouri,Grundy County",824
"Ohio,Erie County",2364
"Alabama,Choctaw County",398
"Ohio,Putnam County",9014
"Kentucky,McCracken County",1506
"Ohio,Franklin County",64445
"Michigan,Berrien County",3299
"Minnesota,Stearns County",838
"Ohio,Richland County",2209
"Florida,Leon County",32619
"Florida,Sarasota County",6071
"Pennsylvania,Lancaster County",5862
"Pennsylvania,Butler County",2390
"Georgia,Franklin County",273
"Illinois,Winnebago County",5420
"California,San Joaquin County",16832
"Texas,Washington County",524
